C,1811485813,509.06
C,3753179005,321.48
D,8688428878,-16.91
C,1354912900,411.53
C,3972439560,-28.83
C,7258405511,270.43
D,2780622030,116.10
D,8441931312,88.62
D,4095352055,934.33
C,2800002766,-21.95
C,9821164169,508760.26
D,1067598068,213.45
D,6551303206,467411.86
C,6595547983,650.04
D,8743189431,645.66
C,6606506839,744.00
C,7620210618,72.52
C,1819721760,694.73
D,3266668470,9.61
C,2622853337,319.68
C,3063370819,641.31
C,8290389967,-2.50
C,9823275138,535.41
D,9100737156,678.57
D,3729752944,-1.50
D,9587852140,781.19
D,4454458725,811.94
C,9578333269,609.23
D,6637451105,351.81
D,5111162619,956.27
D,2249128018,408.42
D,5814839389,-13.24
D,6221701701,381.09
C,6825430700,837005.64
C,4137353430,-26.95
D,8869105461,328.41
C,6690871919,498.40
D,9704006038,224.30
C,7106493437,968.64
D,5718851538,-24.84
D,7681825681,986637.44
D,3119455549,667.47
D,6156151591,-9.09
D,5799380279,-15.92
C,9656073275,903.50
D,2687238070,549.01
D,8558370341,184.55
C,4090690333,745.36
C,6728110938,487.93
D,3315983028,856913.71
C,2239467928,6.66
C,5631896846,489.95
C,8867356617,385.18
C,8468279350,531.79
D,2349924587,132.96
D,6591865350,297.25
D,2665088184,308.70
C,4885880893,478.34
D,5338724328,800.10
D,9274965280,584.50
C,5107790335,924.15
C,6283234609,545.53
C,6098558522,102634.58
D,6690849370,593.84
D,7048316430,32.35
D,3763237733,160.87
D,1998297556,0.00
C,5382738892,393.65
D,1974927330,-25.24
D,6630646547,803.33
C,3993436339,626.17
C,7643629458,503972.68
C,3304589970,62.56
C,8612224280,918.66
D,8060053546,202.41
D,8327766824,-7.85
C,6064199995,807787.85
D,4651301468,273.44
D,2802172343,213.38
C,5525151285,583.27
C,7951723248,983.35
C,5416461624,761.87
D,3583085743,763.67
D,8125975209,691.28
C,6748199620,-5.75
C,5095492118,600.08
D,8313938274,151.48
D,5703913328,496.03
D,7703551042,537.76
C,6554461820,-6.26
C,3676356486,458.76
C,8424620548,890.89
C,3397792305,415.98
D,5375521893,627.37
D,2830247904,249.38
D,9498968531,764416.17
C,1909675969,584403.74
D,6917960969,536238.15
D,7063799691,707.68
D,3950552290,136.75
